room_id,survey_id,host_id,room_type,city,reviews,overall_satisfaction,accommodates,bedrooms,price
15771735,1498,101992409,Shared room,Asheville,0,0,4,1,67
18284194,1498,126414164,Shared room,Asheville,32,5,4,1,76
18091012,1498,122380971,Shared room,Asheville,4,4.5,2,1,45
12286328,1498,746673,Shared room,Asheville,24,4.5,6,1,26
156926,1498,746673,Shared room,Asheville,152,4.5,6,1,26
12989718,1498,746673,Shared room,Asheville,20,4.5,4,1,26
6765734,1498,746673,Shared room,Asheville,52,4.5,5,1,26
16185806,1498,48579050,Shared room,Asheville,14,4.5,2,1,20
9562953,1498,7835259,Entire home/apt,Asheville,3,5,6,3,46
16211914,1498,100026513,Entire home/apt,Asheville,30,5,5,2,150
15132769,1498,6837985,Entire home/apt,Asheville,21,5,4,0,88
18615224,1498,113219123,Entire home/apt,Asheville,10,5,4,1,99
14805266,1498,64825951,Entire home/apt,Asheville,12,5,3,1,144
15780601,1498,88468262,Entire home/apt,Asheville,23,5,4,1,109
14489067,1498,45315603,Entire home/apt,Asheville,6,5,3,1,112
19787532,1498,139692951,Entire home/apt,Asheville,0,0,4,1,105
4895765,1498,5035186,Entire home/apt,Asheville,225,5,4,1,115
15467289,1498,96294317,Entire home/apt,Asheville,43,4.5,4,1,104
11811039,1498,2566529,Entire home/apt,Asheville,48,5,4,1,95
17794306,1498,109638953,Entire home/apt,Asheville,48,5,5,1,100
17992163,1498,33316174,Entire home/apt,Asheville,1,0,4,2,75
1223655,1498,427027,Entire home/apt,Asheville,30,5,12,4,288
9794899,1498,50478143,Entire home/apt,Asheville,17,5,4,1,205
840696,1498,4390477,Entire home/apt,Asheville,218,5,4,3,224
19629824,1498,9216883,Entire home/apt,Asheville,0,0,8,3,249
12711954,1498,48937991,Entire home/apt,Asheville,0,0,6,4,195
18928361,1498,96462574,Entire home/apt,Asheville,0,0,8,3,199
18287668,1498,45577907,Entire home/apt,Asheville,5,5,5,3,195
15850674,1498,3972304,Entire home/apt,Asheville,10,5,6,3,200
19673542,1498,10074261,Entire home/apt,Asheville,0,0,6,3,198
13397329,1498,48532125,Entire home/apt,Asheville,26,5,5,2,150
8895397,1498,2661590,Entire home/apt,Asheville,31,5,4,2,159
16774726,1498,111386122,Entire home/apt,Asheville,28,5,5,2,150
444540,1498,2208876,Entire home/apt,Asheville,92,5,2,1,140
19229221,1498,427027,Entire home/apt,Asheville,1,0,4,0,150
2843256,1498,2939506,Entire home/apt,Asheville,101,5,7,3,175
15481467,1498,9189011,Entire home/apt,Asheville,44,5,4,2,175
3404146,1498,17167852,Entire home/apt,Asheville,30,5,4,2,139
4854313,1498,12516488,Entire home/apt,Asheville,1,0,5,2,125
4830661,1498,9462156,Entire home/apt,Asheville,47,5,4,1,134
11672259,1498,48528642,Entire home/apt,Asheville,23,5,5,1,125
12144656,1498,43818498,Entire home/apt,Asheville,28,5,4,2,123
19871793,1498,107530088,Entire home/apt,Asheville,0,0,2,1,125
15995355,1498,62667,Entire home/apt,Asheville,25,5,3,1,125
5213038,1498,16596642,Entire home/apt,Asheville,171,5,6,2,130
14757919,1498,13282355,Entire home/apt,Asheville,30,5,2,1,130
14052114,1498,2553058,Entire home/apt,Asheville,19,5,4,2,139
6686924,1498,16339042,Entire home/apt,Asheville,75,5,5,2,135
7810101,1498,41116459,Entire home/apt,Asheville,0,0,4,1,120
11242744,1498,58634762,Entire home/apt,Asheville,38,5,4,2,119
14168464,1498,23092470,Entire home/apt,Asheville,86,5,4,1,107
14731106,1498,91729665,Entire home/apt,Asheville,30,5,4,2,104
9022608,1498,34263964,Entire home/apt,Asheville,142,5,5,2,119
18912728,1498,52648308,Entire home/apt,Asheville,2,0,4,1,115
18178954,1498,5366546,Entire home/apt,Asheville,12,5,4,2,107
13479400,1498,67061733,Entire home/apt,Asheville,28,5,4,2,119
9935590,1498,14320569,Entire home/apt,Asheville,27,5,2,2,115
15204868,1498,20583452,Entire home/apt,Asheville,43,5,4,1,110
12052034,1498,3114042,Entire home/apt,Asheville,49,5,2,1,110
7997863,1498,9878339,Entire home/apt,Asheville,28,5,5,2,89
3968877,1498,11584674,Entire home/apt,Asheville,41,5,3,0,95
3268390,1498,16526258,Entire home/apt,Asheville,147,5,2,0,95
17908639,1498,13167283,Entire home/apt,Asheville,8,5,6,2,89
1711119,1498,6705868,Entire home/apt,Asheville,5,5,2,1,85
1290287,1498,7016627,Entire home/apt,Asheville,24,5,5,3,88
14963589,1498,47114362,Entire home/apt,Asheville,50,5,2,1,81
7665386,1498,40234911,Entire home/apt,Asheville,103,4.5,4,1,85
4124504,1498,11006041,Entire home/apt,Asheville,175,5,4,2,99
5696919,1498,29536562,Entire home/apt,Asheville,79,5,4,2,99
5851392,1498,5664205,Entire home/apt,Asheville,32,4.5,3,1,95
6970329,1498,36535942,Entire home/apt,Asheville,73,5,4,2,97
13258472,1498,1994122,Entire home/apt,Asheville,68,5,2,1,99
19264539,1498,42676282,Entire home/apt,Asheville,1,0,2,1,95
13340576,1498,12585232,Entire home/apt,Asheville,66,5,2,1,95
15343687,1498,29602697,Entire home/apt,Asheville,47,5,2,1,90
15009020,1498,22262863,Entire home/apt,Asheville,39,5,4,2,99
16566932,1498,109123783,Entire home/apt,Asheville,1,0,4,2,85
8799413,1498,46109359,Entire home/apt,Asheville,155,5,2,1,90
13716891,1498,7429638,Entire home/apt,Asheville,97,5,2,1,89
15685101,1498,16261203,Entire home/apt,Asheville,46,5,4,1,86
14430828,1498,19598083,Entire home/apt,Asheville,32,5,4,1,75
18910863,1498,27754937,Entire home/apt,Asheville,6,5,6,2,69
12970301,1498,961396,Entire home/apt,Asheville,58,5,3,1,78
19273710,1498,56347978,Entire home/apt,Asheville,7,5,6,2,65
3945733,1498,20447538,Entire home/apt,Asheville,202,4.5,3,0,68
3455514,1498,17383261,Entire home/apt,Asheville,121,5,2,1,79
8983489,1498,167564,Entire home/apt,Asheville,100,4.5,3,1,79
6869894,1498,4580875,Entire home/apt,Asheville,141,5,3,1,78
2326086,1498,2307713,Entire home/apt,Asheville,131,5,4,1,79
3649639,1498,18450336,Entire home/apt,Asheville,193,5,4,1,60
6234618,1498,32351091,Entire home/apt,Asheville,86,5,2,1,55
17750453,1498,9216883,Entire home/apt,Asheville,35,5,8,2,48
19472469,1498,136622148,Entire home/apt,Asheville,4,5,5,2,55
1243512,1498,427027,Entire home/apt,Asheville,26,5,16,10,2222
18875905,1498,96187307,Entire home/apt,Asheville,0,0,17,7,5000
18192104,1498,119003688,Entire home/apt,Asheville,0,0,10,5,1250
17893818,1498,427027,Entire home/apt,Asheville,0,0,12,4,930
17893645,1498,427027,Entire home/apt,Asheville,2,0,6,2,540
18248623,1498,96187307,Entire home/apt,Asheville,0,0,12,4,600
8813084,1498,2044026,Entire home/apt,Asheville,11,5,4,2,400
17606368,1498,96187307,Entire home/apt,Asheville,0,0,12,5,450
16937972,1498,96187307,Entire home/apt,Asheville,0,0,5,2,325
17606369,1498,96187307,Entire home/apt,Asheville,1,0,5,2,325
16937957,1498,96187307,Entire home/apt,Asheville,4,5,10,3,315
16937969,1498,96187307,Entire home/apt,Asheville,4,4.5,5,2,325
14803947,1498,18513600,Entire home/apt,Asheville,10,5,6,3,450
17866138,1498,427027,Entire home/apt,Asheville,2,0,6,2,465
4226713,1498,21935451,Entire home/apt,Asheville,50,5,10,5,475
12401202,1498,67057274,Entire home/apt,Asheville,7,5,6,2,350
3984596,1498,8260778,Entire home/apt,Asheville,82,4.5,10,5,425
5839119,1498,30315956,Entire home/apt,Asheville,46,5,10,4,485
14884802,1498,6074062,Entire home/apt,Asheville,31,5,12,4,400
16490888,1498,6543726,Entire home/apt,Asheville,2,0,11,4,395
17278181,1498,109545616,Entire home/apt,Asheville,18,5,8,3,400
12972968,1498,23026854,Entire home/apt,Asheville,48,5,6,2,400
16607736,1498,397780,Entire home/apt,Asheville,5,5,3,2,350
5481195,1498,28424329,Entire home/apt,Asheville,61,5,6,2,450
15358166,1498,98016924,Entire home/apt,Asheville,25,5,5,2,375
18751432,1498,130451455,Entire home/apt,Asheville,2,0,8,3,330
12377575,1498,2992564,Entire home/apt,Asheville,29,5,6,3,425
3694260,1498,2759944,Entire home/apt,Asheville,1,0,5,2,250
16937958,1498,96187307,Entire home/apt,Asheville,0,0,6,2,300
16937967,1498,96187307,Entire home/apt,Asheville,3,5,6,2,275
16937997,1498,96187307,Entire home/apt,Asheville,2,0,10,3,300
16937975,1498,96187307,Entire home/apt,Asheville,1,0,4,1,275
16937982,1498,96187307,Entire home/apt,Asheville,1,0,5,2,275
16652322,1498,427027,Entire home/apt,Asheville,13,5,2,0,295
10122830,1498,3838067,Entire home/apt,Asheville,1,0,8,3,290
5507900,1498,28567369,Entire home/apt,Asheville,22,5,5,2,300
15062612,1498,86748234,Entire home/apt,Asheville,9,5,8,3,229
3868452,1498,19697970,Entire home/apt,Asheville,89,5,6,3,245
12266103,1498,24707668,Entire home/apt,Asheville,11,5,4,2,225
16826141,1498,49736754,Entire home/apt,Asheville,4,5,10,2,250
3018908,1498,14991088,Entire home/apt,Asheville,57,5,4,2,262
7853266,1498,41383768,Entire home/apt,Asheville,13,5,6,3,225
6335114,1498,32981845,Entire home/apt,Asheville,13,5,6,2,225
16937973,1498,96187307,Entire home/apt,Asheville,2,0,4,1,250
6741903,1498,8120727,Entire home/apt,Asheville,55,5,6,3,295
15282347,1498,97256862,Entire home/apt,Asheville,34,5,7,3,275
3439245,1498,17308817,Entire home/apt,Asheville,65,4.5,6,3,245
14076438,1498,38060048,Entire home/apt,Asheville,16,5,4,2,250
